event,time,magnitude,e_magnitude,upperlimit,band,system,instrument,telescope,source
GW170817,57984.699,17.61,0.04,F,Ks,AB,SIRIUS,IRSF,2017arXiv171005848U
GW170817,57984.717044,18.4,0.2,F,W,AB,,MASTER,2017arXiv171005461L
GW170817,57984.718519,20.45,0.09,F,B,AB,,SAAO,2017arXiv171005433T
GW170817,57984.718519,18.26,0.12,F,I,AB,,SAAO,2017arXiv171005433T
GW170817,57984.718519,18.59,0.05,F,R,AB,,SAAO,2017arXiv171005433T
GW170817,57984.718519,19.25,0.05,F,V,AB,,SAAO,2017arXiv171005433T
GW170817,57984.738,18.92,0.10,F,r,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57984.741,18.90,0.11,F,r,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57984.745,18.33,0.12,F,i,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57984.748,18.26,0.15,F,i,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57984.7494167,18.0,0.3,F,R,AB,,MASTER,2017arXiv171005461L
GW170817,57984.751,19.06,0.07,F,V,Vega,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57984.751,18.25,0.30,F,z,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57984.757044,19.5,,T,B,AB,,MASTER,2017arXiv171005461L
GW170817,57984.758,19.93,0.21,F,g,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57984.758,19.11,0.06,F,w,AB,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57984.761,19.80,0.20,F,g,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57984.761,19.11,0.06,F,w,AB,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57984.76111,18.80,0.07,F,r,AB,PS1,PAN-STARRS,2017arXiv171005841S
GW170817,57984.883119,20.41,,T,U,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57984.885019,19.31,,T,B,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57984.889719,22.16,,T,W2,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57984.895319,18.72,,T,V,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57984.96,18.354,0.105,F,I,AB,ROS2,REM,2017arXiv171005858P
GW170817,57984.96,20.314,0.282,F,g,AB,ROS2,REM,2017arXiv171005858P
GW170817,57984.96,19.178,0.100,F,r,AB,ROS2,REM,2017arXiv171005858P
GW170817,57984.9620,17.55,0.06,F,Ks,AB,FourStar,Magellan,2017Sci...358.1570D
GW170817,57984.9625,17.55,0.01,F,J,AB,FourStar,Magellan,2017Sci...358.1570D
GW170817,57984.96775462963,17.71,0.09,F,H,AB,Gemini,,2017ApJ...848L..17C
GW170817,57984.968,19.10,0.11,F,r,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57984.96892,17.64,0.08,F,H,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57984.96892,17.73,0.09,F,J,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57984.96892,17.66,0.10,F,K,AB,GROND,LaSilla,"2017arXiv171011576V,2017arXiv171005841S"
GW170817,57984.96892,20.19,0.11,F,g,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57984.96892,18.58,0.04,F,i,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57984.96892,19.13,0.17,F,r,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57984.96892,18.33,0.06,F,z,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57984.969,18.77,0.04,F,r,AB,FORS,VLT,2017ApJ...848L..27T
GW170817,57984.9714,17.57,0.01,F,H,AB,FourStar,Magellan,2017Sci...358.1570D
GW170817,57984.9714,19.40,0.11,F,V,AB,EFOSC2,NTT,2017Sci...358.1570D
GW170817,57984.9746503,17.771985892,0.0323418323291,F,Y,AB,DECam,,2017ApJ...848L..17C
GW170817,57984.975,18.61,0.15,F,i,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57984.97569,18.1814465669,0.029941105181100002,F,z,AB,DECam,,2017ApJ...848L..17C
GW170817,57984.976,19.34,0.08,F,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57984.976388999996,18.3834253954,0.03149113467893,F,i,AB,DECam,,2017ApJ...848L..17C
GW170817,57984.97707919999,19.0348518723,0.0338112170222,F,r,AB,DECam,,2017ApJ...848L..17C
GW170817,57984.9777679,20.209178806500002,0.0499190807263,F,g,AB,DECam,,2017ApJ...848L..17C
GW170817,57984.978,18.46,0.10,F,i,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57984.978,19.29,0.12,F,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57984.978519,20.82,0.1,F,B,AB,,CTIO,2017arXiv171005433T
GW170817,57984.978519,18.81,0.05,F,R,AB,,CTIO,2017arXiv171005433T
GW170817,57984.978519,19.51,0.05,F,V,AB,,CTIO,2017arXiv171005433T
GW170817,57984.979,17.67,0.03,F,Ks,AB,VIRCAM,VISTA,2017ApJ...848L..27T
GW170817,57984.97954861,19.12,0.06,F,r,AB,,RC-1000,2017arXiv171005448P
GW170817,57984.98001819999,22.260568039899997,0.159378300537,F,u,AB,DECam,,2017ApJ...848L..17C
GW170817,57984.9801,17.52,0.01,F,J1,AB,FourStar,Magellan,2017Sci...358.1570D
GW170817,57984.9802153,18.8,0.2,F,W,AB,,MASTER,2017arXiv171005461L
GW170817,57984.982,18.19,0.20,F,z,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57984.985,18.780,0.030,F,r,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.985,19.150,0.060,F,r,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.988,18.37,0.03,F,i,AB,DK1.5,VLT,2017ApJ...848L..27T
GW170817,57984.988,19.56,0.07,F,w,AB,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57984.988519,18.4,0.13,F,I,AB,,CTIO,2017arXiv171005433T
GW170817,57984.989,17.66,0.02,F,J,AB,VIRCAM,VISTA,2017ApJ...848L..27T
GW170817,57984.99,18.01,0.13,F,z,AB,DK1.5,DK1.5,2017ApJ...848L..27T
GW170817,57984.992,19.48,0.07,F,w,AB,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57984.999,17.51,0.02,F,Y,AB,VIRCAM,VISTA,2017ApJ...848L..27T
GW170817,57985.0000,19.51,0.08,F,V,AB,IMACS,Magellan,2017Sci...358.1570D
GW170817,57985.0000,18.36,0.02,F,i,AB,IMACS,Magellan,2017Sci...358.1574S
GW170817,57985.002,18.46,0.10,F,i,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57985.006,18.45,0.11,F,i,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57985.00833333,18.90,0.28,F,C,AB,etelman,virt,2017arXiv171005846A
GW170817,57985.0094,18.93,0.02,F,r,AB,IMACS,Magellan,2017Sci...358.1570D
GW170817,57985.010,19.33,0.18,F,V,Vega,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57985.016,19.46,0.06,F,w,AB,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57985.0164,19.53,0.12,F,V,AB,EFOSC2,NTT,2017Sci...358.1570D
GW170817,57985.017,20.15,0.33,F,g,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57985.018368,17.82,0.04,F,I,Vega,LDSS,Magellan,2017Sci...358.1574S
GW170817,57985.018368,18.57,0.03,F,R,Vega,LDSS,Magellan,2017Sci...358.1574S
GW170817,57985.018368,19.49,,F,V,Vega,LDSS,Magellan,2017Sci...358.1574S
GW170817,57985.018368,18.98,,F,r,AB,LDSS,Magellan,2017Sci...358.1574S
GW170817,57985.019,17.76,0.02,F,J,AB,FLAMINGOS-2,Gemini-S,2017arXiv171005436K
GW170817,57985.019,17.60,0.04,F,Ks,AB,FLAMINGOS-2,Gemini-S,2017arXiv171005436K
GW170817,57985.019,19.36,0.05,F,w,AB,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57985.0537,20.19,,T,U,AB,EFOSC2,NTT,2017Sci...358.1570D
GW170817,57985.0537,19.59,0.20,F,V,AB,EFOSC2,NTT,2017Sci...358.1570D
GW170817,57985.05497,19.6,,T,U,AB,EFOSC2,NTT,2017arXiv171005841S
GW170817,57985.183919,19.93,,F,B,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57985.188619,22.21,,T,W2,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57985.194219,18.67,,T,V,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57985.23125,18.44,0.09,F,i,AB,PS1,PAN-STARRS,2017arXiv171005841S
GW170817,57985.23125,18.08,0.11,F,y,AB,PS1,PAN-STARRS,2017arXiv171005841S
GW170817,57985.23125,18.31,0.07,F,z,AB,PS1,PAN-STARRS,2017arXiv171005841S
GW170817,57985.357,19.36,0.09,F,r,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57985.358519,18.62,0.1,F,I,AB,,SSO,2017arXiv171005433T
GW170817,57985.358519,19.1,0.05,F,R,AB,,SSO,2017arXiv171005433T
GW170817,57985.364,18.53,0.13,F,i,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57985.367,18.62,0.14,F,i,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57985.377,19.68,0.05,F,w,AB,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57985.381,19.61,0.05,F,w,AB,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57985.38399306,19.34,0.08,F,r,AB,skymapper,skymapper,2017arXiv171005846A
GW170817,57985.385,19.77,0.20,F,V,Vega,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57985.38539352,20.43,0.11,F,g,AB,skymapper,skymapper,2017arXiv171005846A
GW170817,57985.391,18.70,0.18,F,i,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57985.395,18.63,0.15,F,i,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57985.39703704,19.37,0.09,F,r,AB,skymapper,skymapper,2017arXiv171005846A
GW170817,57985.3984375,20.21,0.12,F,g,AB,skymapper,skymapper,2017arXiv171005846A
GW170817,57985.405,19.53,0.07,F,w,AB,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57985.408,19.56,0.08,F,w,AB,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57985.47916667,19.18,0.12,F,r,AB,zadko,zadko,2017arXiv171005846A
GW170817,57985.531419,18.72,,T,V,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57985.549619,22.05,,T,W1,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57985.554319,19.71,,T,B,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57985.67184848,18.67,,T,i,AB,AST3-2,AST3-2,2017arXiv171005462H
GW170817,57985.699,17.57,0.04,F,H,AB,SIRIUS,IRSF,2017arXiv171005848U
GW170817,57985.699,17.78,0.05,F,J,AB,SIRIUS,IRSF,2017arXiv171005848U
GW170817,57985.699,17.55,0.05,F,Ks,AB,SIRIUS,IRSF,2017arXiv171005848U
GW170817,57985.715412,19.1,,T,W,AB,,MASTER,2017arXiv171005461L
GW170817,57985.718519,18.73,0.11,F,I,AB,,SAAO,2017arXiv171005433T
GW170817,57985.718519,19.3,0.05,F,R,AB,,SAAO,2017arXiv171005433T
GW170817,57985.726,19.75,0.12,F,r,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57985.7302269,18.6,,T,R,AB,,MASTER,2017arXiv171005461L
GW170817,57985.733,18.84,0.20,F,i,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57985.736,18.76,0.15,F,i,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57985.737588,19.3,,T,B,AB,,MASTER,2017arXiv171005461L
GW170817,57985.740,18.42,0.34,F,z,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57985.743,19.89,0.19,F,V,Vega,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57985.746,20.13,0.13,F,w,AB,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57985.750,19.99,0.06,F,w,AB,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57985.77639,19.52,0.13,F,r,AB,1.5B,,2017arXiv171005841S
GW170817,57985.9687,20.54,0.20,F,V,AB,EFOSC2,NTT,2017Sci...358.1570D
GW170817,57985.9728,17.85,0.01,F,J,AB,FourStar,Magellan,2017Sci...358.1570D
GW170817,57985.97302083,20.04,0.08,F,r,AB,,RC-1000,2017arXiv171005448P
GW170817,57985.97433,17.72,0.07,F,H,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57985.97433,17.95,0.07,F,J,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57985.97433,17.86,0.10,F,K,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57985.97433,21.13,0.16,F,g,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57985.97433,19.03,0.01,F,i,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57985.97433,19.81,0.02,F,r,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57985.97433,18.74,0.02,F,z,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57985.978519,18.87,0.11,F,I,AB,,CTIO,2017arXiv171005433T
GW170817,57985.978519,19.54,0.06,F,R,AB,,CTIO,2017arXiv171005433T
GW170817,57985.979,17.54,0.02,F,Ks,AB,VIRCAM,VISTA,2017ApJ...848L..27T
GW170817,57985.979,19.28,0.01,F,r,AB,FORS,VLT,2017ApJ...848L..27T
GW170817,57985.982575,18.053540582,0.03489670185509999,F,Y,AB,DECam,,2017ApJ...848L..17C
GW170817,57985.983605299996,18.5613837282,0.033571560303100004,F,z,AB,DECam,,2017ApJ...848L..17C
GW170817,57985.984104999996,23.0620125727,0.320547847388,F,u,AB,DECam,,2017ApJ...848L..17C
GW170817,57985.98427180001,18.7253377929,0.031572712552599996,F,i,AB,DECam,,2017ApJ...848L..17C
GW170817,57985.9849566,19.2904674945,0.0435129039438,F,r,AB,DECam,,2017ApJ...848L..17C
GW170817,57985.98563919999,20.928474087799998,0.082903420644,F,g,AB,DECam,,2017ApJ...848L..17C
GW170817,57985.989,17.86,0.02,F,J,AB,VIRCAM,VISTA,2017ApJ...848L..27T
GW170817,57985.989,17.76,0.01,F,Y,AB,VIRCAM,VISTA,2017ApJ...848L..27T
GW170817,57985.9893,20.52,0.12,F,V,AB,Swope,Swope,"2017Sci...358.1570D,2017ApJ...851L..21V"
GW170817,57985.990193,18.26,0.04,F,I,Vega,LDSS,Magellan,2017Sci...358.1574S
GW170817,57985.990193,19.35,0.04,F,R,Vega,LDSS,Magellan,2017Sci...358.1574S
GW170817,57985.990193,20.41,0.08,F,V,Vega,LDSS,Magellan,2017Sci...358.1574S
GW170817,57985.990193,18.91,0.04,F,i,AB,LDSS,Magellan,2017Sci...358.1574S
GW170817,57985.990193,19.88,0.05,F,r,AB,LDSS,Magellan,2017Sci...358.1574S
GW170817,57985.9951,21.72,0.13,F,B,AB,Swope,Swope,"2017Sci...358.1570D,2017ApJ...851L..21V"
GW170817,57986.0000,18.38,0.05,F,z,AB,LDSS,Magellan,2017Sci...358.1574S
GW170817,57986.0013,20.77,0.05,F,g,AB,Swope,Swope,"2017Sci...358.1570D,2017ApJ...851L..21V"
GW170817,57986.003,20.18,0.10,F,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57986.0046,18.92,0.05,F,i,AB,Swope,Swope,"2017Sci...358.1570D,2017ApJ...851L..21V"
GW170817,57986.0076,19.82,0.09,F,r,AB,Swope,Swope,"2017Sci...358.1570D,2017ApJ...851L..21V"
GW170817,57986.0156,20.55,0.15,F,V,AB,EFOSC2,NTT,2017Sci...358.1570D
GW170817,57986.02,20.940,0.060,F,g,AB,XS,VLT,2017arXiv171005858P
GW170817,57986.02,19.740,0.020,F,r,AB,XS,VLT,2017arXiv171005858P
GW170817,57986.02,18.300,0.020,F,z,AB,XS,VLT,2017arXiv171005858P
GW170817,57986.028519,17.69,0.02,F,H,AB,,Gemini,2017arXiv171005433T
GW170817,57986.028519,17.94,0.02,F,J,AB,,Gemini,2017arXiv171005433T
GW170817,57986.028519,17.62,0.02,F,Ks,AB,,Gemini,2017arXiv171005433T
GW170817,57986.029,17.72,0.04,F,H,AB,FLAMINGOS-2,Gemini-S,2017arXiv171005436K
GW170817,57986.029,17.93,0.06,F,J,AB,FLAMINGOS-2,Gemini-S,2017arXiv171005436K
GW170817,57986.029,17.61,0.06,F,Ks,AB,FLAMINGOS-2,Gemini-S,2017arXiv171005436K
GW170817,57986.0310486,19.8,,T,W,AB,,MASTER,2017arXiv171005461L
GW170817,57986.038519,20.9,0.01,F,g,AB,,Gemini,2017arXiv171005433T
GW170817,57986.038519,18.93,0.01,F,i,AB,,Gemini,2017arXiv171005433T
GW170817,57986.038519,19.66,0.01,F,r,AB,,Gemini,2017arXiv171005433T
GW170817,57986.048519,18.46,0.01,F,z,AB,,Gemini,2017arXiv171005433T
GW170817,57986.0531,20.68,0.31,F,V,AB,EFOSC2,NTT,2017Sci...358.1570D
GW170817,57986.180219,19.37,,T,B,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57986.190519,18.95,,T,V,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57986.23556,17.8,,T,i,AB,PS1,PAN-STARRS,2017arXiv171005841S
GW170817,57986.23556,17.7,,T,y,AB,PS1,PAN-STARRS,2017arXiv171005841S
GW170817,57986.23556,18.10,0.30,F,z,AB,PS1,PAN-STARRS,2017arXiv171005841S
GW170817,57986.358519,19,0.1,F,I,AB,,SSO,2017arXiv171005433T
GW170817,57986.358519,19.64,0.09,F,R,AB,,SSO,2017arXiv171005433T
GW170817,57986.4944444,19.86,0.21,F,r,AB,zadko,zadko,2017arXiv171005846A
GW170817,57986.65057467,18.38,,T,i,AB,AST3-2,AST3-2,2017arXiv171005462H
GW170817,57986.709,17.77,0.04,F,H,AB,SIRIUS,IRSF,2017arXiv171005848U
GW170817,57986.709,18.13,0.12,F,J,AB,SIRIUS,IRSF,2017arXiv171005848U
GW170817,57986.709,17.57,0.07,F,Ks,AB,SIRIUS,IRSF,2017arXiv171005848U
GW170817,57986.715,20.30,0.31,F,r,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57986.7179468,20.0,,T,W,AB,,MASTER,2017arXiv171005461L
GW170817,57986.718519,19.23,0.1,F,I,AB,,SAAO,2017arXiv171005433T
GW170817,57986.718519,19.94,0.06,F,R,AB,,SAAO,2017arXiv171005433T
GW170817,57986.7582014,19.5,,T,R,AB,,MASTER,2017arXiv171005461L
GW170817,57986.8097176,19.0,,T,B,AB,,MASTER,2017arXiv171005461L
GW170817,57986.968519,19.22,0.1,F,I,AB,,CTIO,2017arXiv171005433T
GW170817,57986.968519,20.12,0.08,F,R,AB,,CTIO,2017arXiv171005433T
GW170817,57986.969,20.25,0.28,F,r,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57986.97,20.238,0.058,F,R,AB,FORS2,VLT,2017arXiv171005858P
GW170817,57986.9710,18.08,0.02,F,Y,AB,RetroCam,du Pont,2017Sci...358.1570D
GW170817,57986.97337962963,17.92,0.1,F,H,AB,Gemini,,2017ApJ...848L..17C
GW170817,57986.97426,18.02,0.10,F,H,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57986.97426,18.17,0.07,F,J,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57986.97426,17.53,0.11,F,K,AB,GROND,LaSilla,"2017arXiv171011576V,2017arXiv171005841S"
GW170817,57986.97426,21.58,0.22,F,g,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57986.97426,19.51,0.04,F,i,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57986.97426,20.53,0.05,F,r,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57986.97426,19.07,0.06,F,z,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57986.97524169999,18.3533040928,0.030046328552999997,F,Y,AB,DECam,,2017ApJ...848L..17C
GW170817,57986.977667299994,18.8080891149,0.02695136163562,F,z,AB,DECam,,2017ApJ...848L..17C
GW170817,57986.979,17.60,0.02,F,Ks,AB,VIRCAM,VISTA,2017ApJ...848L..27T
GW170817,57986.98,18.73,0.01,F,z,AB,VIMOS,VLT,2017ApJ...848L..27T
GW170817,57986.9800763,19.2227146535,0.02611066364563,F,i,AB,DECam,,2017ApJ...848L..17C
GW170817,57986.98065972,20.14,0.12,F,R,,,RC-1000,2017arXiv171005448P
GW170817,57986.9830,17.83,0.02,F,H,AB,RetroCam,du Pont,2017Sci...358.1570D
GW170817,57986.9836909,20.2519395671,0.0485133686263,F,r,AB,DECam,,2017ApJ...848L..17C
GW170817,57986.9885,19.39,0.04,F,i,AB,Swope,Swope,"2017Sci...358.1570D,2017ApJ...851L..21V"
GW170817,57986.989,18.08,0.03,F,J,AB,VIRCAM,VISTA,2017ApJ...848L..27T
GW170817,57986.989,18.07,0.02,F,Y,AB,VIRCAM,VISTA,2017ApJ...848L..27T
GW170817,57986.989,19.86,0.01,F,r,AB,VIMOS,VLT,2017ApJ...848L..27T
GW170817,57986.9909464,21.730717359899998,0.11150905857389999,F,g,AB,DECam,,2017ApJ...848L..17C
GW170817,57986.992,20.64,0.09,F,w,AB,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57986.9965,20.58,0.12,F,r,AB,Swope,Swope,"2017Sci...358.1570D,2017ApJ...851L..21V"
GW170817,57986.9980,18.10,0.02,F,J,AB,RetroCam,du Pont,2017Sci...358.1570D
GW170817,57987.0000,21.85,0.22,F,V,AB,LDSS,Magellan,2017Sci...358.1570D
GW170817,57987.00,18.927,0.027,F,z,AB,FORS2,VLT,2017arXiv171005858P
GW170817,57987.004,20.92,0.12,F,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57987.0044,21.75,0.10,F,g,AB,Swope,Swope,"2017Sci...358.1570D,2017ApJ...851L..21V"
GW170817,57987.01,19.284,0.055,F,I,AB,FORS2,VLT,2017arXiv171005858P
GW170817,57987.0192,21.78,0.06,F,g,AB,LDSS,Magellan,2017Sci...358.1570D
GW170817,57987.02,22.729,0.128,F,B,AB,FORS2,VLT,2017arXiv171005858P
GW170817,57987.02,21.082,0.054,F,V,AB,FORS2,VLT,2017arXiv171005858P
GW170817,57987.0217,22.52,0.14,F,B,AB,LDSS,Magellan,2017Sci...358.1570D
GW170817,57987.035112,18.67,0.04,F,I,Vega,LDSS,Magellan,2017Sci...358.1574S
GW170817,57987.035112,20.19,,F,R,Vega,LDSS,Magellan,2017Sci...358.1574S
GW170817,57987.035112,21.83,,F,V,Vega,LDSS,Magellan,2017Sci...358.1574S
GW170817,57987.035112,19.43,0.04,F,i,AB,LDSS,Magellan,2017Sci...358.1574S
GW170817,57987.035112,21.00,,F,r,AB,LDSS,Magellan,2017Sci...358.1574S
GW170817,57987.035112,18.75,0.08,F,z,AB,LDSS,Magellan,2017Sci...358.1574S
GW170817,57987.039,17.72,0.09,F,Ks,AB,FLAMINGOS-2,Gemini-S,2017arXiv171005436K
GW170817,57987.049,18.02,0.07,F,H,AB,FLAMINGOS-2,Gemini-S,2017arXiv171005436K
GW170817,57987.049,18.15,0.06,F,J,AB,FLAMINGOS-2,Gemini-S,2017arXiv171005436K
GW170817,57987.23556,18.8,,T,z,AB,PS1,PAN-STARRS,2017arXiv171005841S
GW170817,57987.319,18.26,0.01,F,F110W,AB,WFC3_IR,HST,2017ApJ...848L..27T
GW170817,57987.320519,18.429,0.026,F,F110W,AB,WFC3,HST,2017arXiv171005433T
GW170817,57987.358,20.69,0.33,F,r,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57987.358519,19.52,0.13,F,I,AB,,SSO,2017arXiv171005433T
GW170817,57987.358519,20.33,0.05,F,R,AB,,SSO,2017arXiv171005433T
GW170817,57987.38150463,20.51,,T,r,AB,skymapper,skymapper,2017arXiv171005846A
GW170817,57987.38291667,20.60,,T,g,AB,skymapper,skymapper,2017arXiv171005846A
GW170817,57987.39453704,20.47,,T,r,AB,skymapper,skymapper,2017arXiv171005846A
GW170817,57987.39592593,20.66,,T,g,AB,skymapper,skymapper,2017arXiv171005846A
GW170817,57987.452,18.063,0.03,F,F160W,AB,WFC3_IR,HST,2017ApJ...848L..27T
GW170817,57987.453519,18.116,0.032,F,F160W,AB,,HST,2017arXiv171005433T
GW170817,57987.474619,20.85,,T,U,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57987.481819,22.47,,T,M2,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57987.49027778,20.20,0.23,F,r,AB,zadko,zadko,2017arXiv171005846A
GW170817,57987.709,17.94,0.05,F,H,AB,SIRIUS,IRSF,2017arXiv171005848U
GW170817,57987.709,18.31,0.06,F,J,AB,SIRIUS,IRSF,2017arXiv171005848U
GW170817,57987.709,17.68,0.04,F,Ks,AB,SIRIUS,IRSF,2017arXiv171005848U
GW170817,57987.718519,19.68,0.1,F,I,AB,,SAAO,2017arXiv171005433T
GW170817,57987.718519,20.64,0.07,F,R,AB,,SAAO,2017arXiv171005433T
GW170817,57987.849,24.97,0.11,F,F336W,AB,WFC3_UVIS,HST,2017arXiv171005436K
GW170817,57987.849,25.05,0.11,F,F336W,AB,WFC3_UVIS,HST,2017arXiv171005436K
